DateTime,MpKrakAlKras,MpKrakBujaka,MpKrakBulwar,MpKrakOsPias,MpKrakSwoszo,MpKrakWadow,MpKrakZloRog
2019-01-03 15:00:00,24.5392,18.0531,6.27598,19.1328,,10.2897,20.5015
2019-01-03 16:00:00,21.4382,12.6363,7.19415,15.9898,,8.81975,17.0852
2019-01-03 17:00:00,19.3957,14.5534,10.9838,15.4117,,8.31428,18.0064
2019-01-03 18:00:00,18.8429,15.969,10.9782,12.2325,,11.6973,13.4949
2019-01-03 19:00:00,24.4152,17.1143,10.5707,13.1844,,12.9961,18.6849
2019-01-03 20:00:00,20.7164,17.1433,9.13368,8.45269,,10.1341,12.4509
2019-01-03 21:00:00,20.5931,19.4625,7.49311,20.9203,,11.674,19.1957
2019-01-03 22:00:00,29.6886,15.4243,10.295,20.4031,,6.85993,29.2598
2019-01-03 23:00:00,34.8025,18.0586,14.1114,22.7871,,11.5106,35.6502
2019-01-04 00:00:00,23.9014,17.8204,9.89816,25.09,,12.6461,18.2279
2019-01-04 01:00:00,19.9761,13.516,10.0779,12.9491,,16.6792,10.3855
2019-01-04 02:00:00,17.3379,10.9731,7.50176,12.7712,,11.4039,13.6456
2019-01-04 03:00:00,19.2584,9.12838,12.6229,15.598,,14.7396,9.75946
2019-01-04 04:00:00,18.3002,8.54765,10.0702,12.0474,,8.72411,7.80458
2019-01-04 05:00:00,38.0441,7.20697,8.38785,10.2454,,6.56245,9.48202
2019-01-04 06:00:00,57.2687,10.2897,9.78651,11.8353,,9.41749,14.9845
2019-01-04 07:00:00,57.2118,17.7524,14.5872,16.8271,,11.9193,13.2933
2019-01-04 08:00:00,31.4446,23.9746,15.8112,19.9418,,9.56741,17.6524
2019-01-04 09:00:00,32.6602,21.9872,14.9951,19.3882,,14.6647,24.8192
2019-01-04 10:00:00,48.148,31.6364,21.29,27.4306,,16.7823,28.6245
2019-01-04 11:00:00,59.6793,29.1761,19.8895,24.4799,,21.8796,31.6626
2019-01-04 12:00:00,87.2044,38.1957,27.1891,27.8334,,19.0124,32.9931
2019-01-04 13:00:00,77.7325,37.0251,23.942,28.6249,,18.3284,27.2349
2019-01-04 14:00:00,93.8466,41.4096,30.1498,33.275,,21.6453,32.859
2019-01-04 15:00:00,79.1244,46.3729,36.9228,43.4758,,32.5239,45.316
2019-01-04 16:00:00,59.831,30.7572,30.5215,37.9342,,39.7763,43.6998
2019-01-04 17:00:00,51.7899,23.7968,22.6817,34.3033,,27.3423,29.4075
2019-01-04 18:00:00,50.4478,30.1005,21.7476,25.4053,,22.3856,26.91
2019-01-04 19:00:00,59.9137,39.0208,26.569,24.7033,,27.8764,29.1522
2019-01-04 20:00:00,64.1196,39.5486,24.1351,29.2403,,24.1378,41.704
2019-01-04 21:00:00,71.4693,43.8214,21.62,42.2809,,27.9513,53.8666
2019-01-04 22:00:00,72.6524,43.1568,21.0814,43.3968,,28.2606,36.2254
2019-01-04 23:00:00,79.393,30.8278,22.8576,39.7307,,28.9633,42.2985
2019-01-05 00:00:00,74.4918,28.4819,20.5114,39.7193,,29.2163,36.8976
2019-01-05 01:00:00,59.6436,25.3537,20.0936,28.0862,,26.2761,25.8453
2019-01-05 02:00:00,41.9083,18.0216,22.9136,26.8088,,18.0261,23.7639
2019-01-05 03:00:00,32.1396,12.5597,16.4895,20.6006,,14.1249,14.2492
2019-01-05 04:00:00,25.493,11.4388,14.248,13.0153,,13.5633,11.7717
2019-01-05 05:00:00,20.9174,10.0249,8.1778,7.57625,,10.6413,12.3026
2019-01-05 06:00:00,19.6293,8.45911,8.35472,10.7761,,8.28087,11.5113
2019-01-05 07:00:00,19.0304,9.69,6.67801,9.33227,,4.84047,8.34132
2019-01-05 08:00:00,17.6783,7.98,5.98523,9.61356,,6.56712,8.1256
2019-01-05 09:00:00,20.4854,13.1219,6.88055,7.70686,,5.51216,10.8048
2019-01-05 10:00:00,20.2745,13.6123,8.74289,6.71624,,5.12508,6.9797
2019-01-05 11:00:00,27.284,10.4833,13.3838,9.78271,,5.34367,12.2287
2019-01-05 12:00:00,28.2644,21.3393,14.3789,16.7958,,11.294,12.5587
2019-01-05 13:00:00,36.3812,27.3006,15.3973,16.0785,,12.1971,22.7775
2019-01-05 14:00:00,30.2396,22.711,20.4835,18.4275,,18.6409,25.1906
2019-01-05 15:00:00,33.9549,32.4397,14.6917,11.096,,11.9315,19.5873
2019-01-05 16:00:00,19.5935,35.9159,8.79262,10.3001,,6.35765,15.5926
2019-01-05 17:00:00,19.6331,23.4955,9.90882,10.6184,,11.0814,15.1601
